"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU127"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"k:Fungi"
"OTU128"	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae"
"OTU129"	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Calonectria"
"OTU130"	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Phyllostictaceae,g:Phyllosticta"
"OTU131"	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Chordomyces,s:Chordomyces antarcticus"
"OTU132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes"
"OTU133"	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Stephanonectria,s:Stephanonectria keithii"
"OTU134"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Neophaeococcomyces"
"OTU135"	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora"
"OTU136"	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Sporocadaceae,g:Pestalotiopsis,s:Pestalotiopsis mangifolia"
