"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU82"	0	0	0	0	1626	204	1745	2070	0	0	74	44	114	43	213	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinomycetospora"
"OTU83"	0	0	0	0	0	0	0	0	0	0	8	0	26	566	33	69	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Acidicapsa"
"OTU84"	0	0	0	0	0	0	0	0	1226	1078	10	13	17	62	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiales_incertae_sedis; g__Aquabacterium"
"OTU85"	0	0	0	0	0	0	0	0	123	671	299	8	0	6	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylophilus"
"OTU87"	0	0	0	0	0	0	0	0	0	0	0	7	144	485	9	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Aeromicrobium"
"OTU88"	0	0	0	0	0	0	0	0	0	0	0	1196	0	0	0	22	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae"
"OTU89"	0	0	0	0	0	0	0	0	408	75	537	0	0	83	0	21	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU90"	0	0	0	0	0	0	0	0	0	15	57	10	13	94	661	986	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides"
"OTU91"	0	0	0	0	0	0	0	0	0	0	4	0	3	161	1189	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU92"	0	0	0	0	16	0	7	14	6	8	8	1214	14	63	19	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Cryptosporangiaceae; g__Cryptosporangium"
"OTU93"	0	0	0	0	0	0	0	0	0	0	5	0	0	860	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylovirgula"
"OTU94"	0	0	0	0	0	0	0	0	385	235	428	33	12	434	11	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas"
"OTU95"	0	0	0	0	0	0	0	0	23	268	101	0	0	0	0	1220	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum"
"OTU96"	0	0	24	0	0	0	0	0	421	871	878	21	0	31	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Duganella"
"OTU97"	0	0	0	0	0	0	0	0	65	113	21	68	269	280	245	68	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales"
"OTU99"	0	0	0	0	64	0	0	0	0	21	0	92	1427	17	117	24	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia"
"OTU100"	0	0	0	0	371	0	335	1297	208	68	499	341	75	126	604	163	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Actinoplanes"
"OTU101"	0	0	0	0	0	0	0	0	0	27	5	0	7	64	1438	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae"
"OTU102"	0	0	0	0	0	0	0	0	678	0	0	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter"
"OTU103"	0	0	0	0	0	0	0	137	0	478	9	0	0	3	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Sphingobacteriaceae"
"OTU105"	0	0	0	0	0	0	0	0	10	197	0	5	5	288	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae"
"OTU106"	0	0	0	0	0	0	0	14	0	0	0	0	492	472	35	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Cryptosporangiaceae; g__Jatrophihabitans"
"OTU107"	0	0	0	0	0	0	0	0	572	21	687	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__\"Anaerospora\""
