"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU111"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter"
"OTU112"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Labedaea"
"OTU113"	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax"
"OTU115"	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae"
"OTU117"	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"OTU118"	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pseudorhodoferax"
"OTU119"	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia"
"OTU120"	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Cytophagia; o__Cytophagales"
"OTU121"	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Flavobacteriia; o__\"Flavobacteriales\"; f__Flavobacteriaceae; g__Chryseobacterium"
"OTU122"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	"k__Bacteria; p__\"Chloroflexi\"; c__Ktedonobacteria; o__Ktedonobacterales"
"OTU124"	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__Kineococcus"
"OTU126"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU127"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae"
"OTU129"	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Flavobacteriia; o__\"Flavobacteriales\"; f__Flavobacteriaceae; g__Chryseobacterium"
"OTU130"	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
"OTU132"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae"
"OTU133"	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp4; o__; f__; g__Blastocatella"
