#OTU_ID	V1.ITS	V2.ITS	V3.ITS	V4.ITS	V5.ITS	V6.ITS	V7.ITS	V8.ITS	V9.ITS	V10.ITS	V11.ITS	V12.ITS	V13.ITS	V14.ITS	V15.ITS	V16.ITS	taxonomy
New.CleanUp.ReferenceOTU89	0	0	0	0	0	75	0	15	14	12	0	0	0	18	12	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__Devriesia_strelitziicola
New.CleanUp.ReferenceOTU96	0	0	0	0	0	6	0	0	0	0	35	5	0	21	7	169	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
New.CleanUp.ReferenceOTU100	0	0	0	0	0	24	286	0	10	0	0	0	6	164	14	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum
New.CleanUp.ReferenceOTU116	0	0	0	0	0	6	0	15	0	0	0	0	0	0	63	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Tubeufiales; f__Wiesneriomycetaceae; g__Wiesneriomyces; s__Wiesneriomyces_laurinus
New.CleanUp.ReferenceOTU118	0	0	0	0	0	100	0	0	6	0	5	0	0	76	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales
New.CleanUp.ReferenceOTU131	0	0	0	0	0	205	0	8	0	0	0	0	0	14	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes
New.CleanUp.ReferenceOTU147	0	0	0	0	0	26	0	0	45	0	5	0	0	12	8	5	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Zymoseptoria; s__Zymoseptoria_brevis
New.CleanUp.ReferenceOTU155	0	0	0	0	0	85	0	139	0	0	0	0	0	0	0	10	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Stachybotryaceae
New.CleanUp.ReferenceOTU157	0	0	0	0	0	17	0	17	57	0	2294	45	0	11	12	9	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.CleanUp.ReferenceOTU172	0	0	0	0	0	568	0	0	0	0	11	677	0	0	7	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
New.CleanUp.ReferenceOTU175	0	0	0	0	0	8	0	12695	0	16	11	0	33	0	0	7	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Dissoconiaceae; g__Uwebraunia; s__Uwebraunia_musae
New.CleanUp.ReferenceOTU186	0	0	0	0	0	580	0	19	26	0	14	0	0	0	7	148	k__Fungi; p__Ascomycota; c__Dothideomycetes
New.CleanUp.ReferenceOTU195	0	0	0	0	0	18	0	0	7	17	0	0	23	0	31	8	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Didymella; s__Didymella_exigua
New.ReferenceOTU8	0	0	0	0	0	0	26846	0	0	0	0	0	12709	548	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.ReferenceOTU9	0	0	0	0	0	0	2029	0	0	0	0	0	28116	2050	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae
New.ReferenceOTU11	0	0	0	0	0	0	1234	0	0	0	0	0	16	429	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Plectosphaerella
New.ReferenceOTU12	0	0	0	0	0	0	124	0	0	0	0	0	53	7	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum
New.ReferenceOTU1	0	0	0	0	0	0	16	0	0	0	0	0	1314	160	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
