#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Taxonomy
OTU88	390	0	0	0	0	0	1438	0	0	0	0	0	20	0	0	0	GS|99.7|JX135972|SH1651046.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU89	0	0	0	0	0	0	0	0	0	0	100	0	0	921	0	0	GS|88.0|JX363377|SH1245499.08FU;k:Fungi
OTU90	13	0	0	0	50	42	0	336	9	0	1553	71	75	735	46	16	SS|1.0000|KY038650|SH1636081.08FU;k:Fungi
OTU91	0	0	0	0	0	0	0	0	0	892	23	15	829	0	0	0	GS|100.0|KY318474|SH1546329.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Dactylonectria,s:Dactylonectria anthuriicola
OTU92	0	0	0	0	0	0	0	2063	0	0	0	0	0	0	0	0	GS|85.8|LT547783|SH1170661.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae
OTU93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	0	SS|0.9900|KU144596|SH1189394.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU94	0	0	0	0	0	0	0	68	0	0	97	0	0	866	63	119	GS|100.0|MH063036|SH1636101.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora fusarioides
OTU95	0	675	0	0	6	0	0	87	0	0	324	0	0	0	0	0	SS|0.9700|KY607541|SH1185593.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
OTU97	0	0	0	0	0	0	0	0	43	0	327	715	295	46	0	11	GS|100.0|KX953444|SH1546336.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
OTU98	0	0	259	0	6	362	0	0	18	5	213	5	102	31	17	14	GSL|100.0|MG434530|SH1543716.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae
OTU99	0	0	0	0	0	0	0	0	0	0	995	0	0	0	0	0	GS|100.0|EF029211|SH1561524.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella
OTU100	0	229	0	0	19	0	0	0	0	0	0	26	555	35	0	0	GS|100.0|MG251413|SH1522801.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella,s:Hannaella siamensis
OTU101	0	0	0	0	0	0	0	0	82	26	0	10	78	1395	0	0	GS|100.0|KC222693|SH1160354.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora
OTU103	0	0	0	0	0	28	0	1049	0	0	0	0	0	10	0	0	SS|0.8300|KC978025|SH1223130.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
OTU104	0	0	0	0	0	0	0	0	36	99	0	130	891	5	0	91	GSL|100.0|LC406460|SH1516144.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Talaromyces,s:Talaromyces sayulitensis
OTU105	0	0	0	0	0	0	0	5	14	0	701	149	184	60	506	6	SS|1.0000|MF976674|SH1149751.08FU;k:Fungi
OTU106	0	0	0	0	0	876	0	32	0	0	0	0	0	0	0	0	SS|0.8100|LT547793|SH1156853.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae
OTU107	0	0	0	0	640	63	0	101	36	0	469	200	104	135	62	13	GDL|100.0|HQ012965|SH1645871.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU108	0	0	0	0	0	0	0	0	13	441	221	110	265	18	174	0	GS|99.7|EU541485|SH1647019.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Xenobotrytis,s:Xenobotrytis acaducospora
OTU109	0	0	0	0	0	0	0	0	0	0	0	82	168	979	0	0	GS|100.0|KU846294|SH1561007.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Paramyrothecium,s:Paramyrothecium foliicola
OTU110	0	0	0	0	0	0	0	0	0	0	1146	0	0	6	0	0	GS|100.0|JQ081587|SH1561518.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella,s:Volutella consors
OTU111	0	69	125	0	14	1780	338	123	0	0	29	18	291	143	0	0	GSL|100.0|MK101018|SH1543887.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum
OTU112	0	0	0	0	0	0	0	866	0	0	0	0	0	0	0	0	SS|0.8000|DQ018095|SH1150058.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU113	0	0	0	0	0	1003	0	12	0	10	15	0	27	27	16	0	GSL|100.0|AF001025|SH1540607.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe
OTU114	0	0	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|87.7|KT215247|SH1151470.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Orbilia
OTU115	0	181	0	0	0	0	771	12	0	0	0	15	0	35	0	11	GSL|100.0|MH397134|SH1573185.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU116	0	0	0	0	0	10	0	0	82	0	1112	0	130	57	0	160	GS|97.0|HG936115|SH1585524.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Fusidium
OTU118	0	36	3	10	98	489	0	3	0	0	11	0	238	128	0	0	GSL|100.0|MN306004|SH1572792.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium
OTU119	0	0	0	0	0	0	0	0	0	0	0	741	0	0	0	0	SS|0.9700|UDB025119|SH1158531.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
OTU120	0	0	0	0	0	0	0	199	0	0	0	0	0	13	819	0	SS|0.9500|KF359644|SH1627172.08FU;k:Fungi,p:Ascomycota
OTU121	0	0	0	0	0	0	0	0	0	0	0	0	6	833	0	0	GS|99.0|MF495447|SH1529623.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala moniliae
OTU123	0	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	9	GS|80.9|HE584946|SH1551238.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Ochroconis
OTU125	0	7	0	20	460	320	0	0	0	0	0	11	62	18	0	0	SS|0.9900|JX294932|SH1549747.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
OTU126	0	0	0	0	0	0	0	0	0	0	0	759	0	0	0	0	GS|100.0|KX499243|SH1241440.08FU;k:Fungi,p:Ascomycota
OTU127	0	0	0	0	0	0	0	0	0	0	116	0	0	0	637	0	SS|1.0000|KX434722|SH1547257.08FU;k:Fungi
OTU128	16	0	0	0	0	3	618	17	0	0	0	26	97	247	0	0	GSL|100.0|MG571086|SH1644388.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae
OTU129	0	0	0	0	0	0	0	0	0	46	981	0	0	0	25	0	GSL|100.0|FJ868792|SH1610162.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Calonectria
OTU130	0	0	6	59	24	519	0	4	0	0	12	0	53	0	0	0	GSL|100.0|MK120117|SH1604735.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Phyllostictaceae,g:Phyllosticta
OTU131	0	0	0	0	0	0	106	144	0	0	108	56	169	778	11	0	GS|100.0|KX385856|SH1644390.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Chordomyces,s:Chordomyces antarcticus
OTU132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	0	SS|0.8000|MF976674|SH1149751.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes
OTU133	0	0	0	0	0	546	0	0	9	0	174	7	58	748	44	9	GS|100.0|MG748668|SH1522830.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Stephanonectria,s:Stephanonectria keithii
